DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2020-04-04,93729,3314,EVERYONE,TRUE,2020-04-03,31.1,4.2
2020-04-05,104418,3047,EVERYONE,TRUE,2020-04-03,31.1,4.2
2020-04-06,120753,5237,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-07,119429,4132,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-08,116119,2638,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-09,86134,3661,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-10,93451,2543,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-11,86863,2454,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-12,83555,2288,EVERYONE,TRUE,2020-04-05,31.2,4.2
2020-04-13,86859,4484,EVERYONE,TRUE,2020-04-12,31.2,4.2
2020-04-14,74273,2867,EVERYONE,TRUE,2020-04-12,31.2,4.2
2020-04-15,73508,3854,EVERYONE,TRUE,2020-04-12,31.2,4.2
2020-04-16,67040,2665,EVERYONE,TRUE,2020-04-12,31.2,4.2
2020-04-17,51717,10099,EVERYONE,TRUE,2020-04-16,31.2,4.2
2020-04-18,48418,14537,EVERYONE,TRUE,2020-04-17,31.2,4.2
2020-04-19,64390,12887,EVERYONE,TRUE,2020-04-17,31.2,4.2
2020-04-20,56869,13684,EVERYONE,TRUE,2020-04-17,31.2,4.2
2020-04-21,58030,8994,EVERYONE,TRUE,2020-04-17,31.2,4.2
2020-04-22,68151,10971,EVERYONE,TRUE,2020-04-17,31.2,4.2
2020-04-23,61826,10730,EVERYONE,TRUE,2020-04-22,31.3,4.2
2020-04-24,50554,164,EVERYONE,TRUE,2020-04-22,31.3,4.2
2020-04-25,57023,100,EVERYONE,TRUE,2020-04-22,31.3,4.2
2020-04-26,55504,191,EVERYONE,TRUE,2020-04-25,31.5,4.2
2020-04-27,60453,149,EVERYONE,TRUE,2020-04-25,31.5,4.2
2020-04-28,64492,61,EVERYONE,TRUE,2020-04-25,31.5,4.2
2020-04-29,64427,176,EVERYONE,TRUE,2020-04-28,31.5,4.2
2020-04-30,59977,124,EVERYONE,TRUE,2020-04-28,31.5,4.2
2020-05-01,63818,176,EVERYONE,TRUE,2020-04-28,31.5,4.2
2020-05-02,58019,109,EVERYONE,TRUE,2020-04-28,31.5,4.2
2020-05-03,58888,186,EVERYONE,TRUE,2020-05-02,31.5,4.2
2020-05-04,52012,115,EVERYONE,TRUE,2020-05-02,31.5,4.2
2020-05-05,61007,117,EVERYONE,TRUE,2020-05-02,31.5,4.2
2020-05-06,60234,123,EVERYONE,TRUE,2020-05-02,31.5,4.2
2020-05-07,59220,188,EVERYONE,TRUE,2020-05-02,31.5,4.2
2020-05-08,52249,106,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-09,62722,196,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-10,57630,156,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-11,56343,102,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-12,54339,101,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-13,56592,130,EVERYONE,TRUE,2020-05-07,33.5,4.2
2020-05-14,56174,176,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-15,50945,114,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-16,45910,140,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-17,56381,141,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-18,55940,127,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-19,58151,123,EVERYONE,TRUE,2020-05-13,33.5,4.2
2020-05-20,53091,79,EVERYONE,TRUE,2020-05-19,33.6,4.2
2020-05-21,53689,197,EVERYONE,TRUE,2020-05-19,33.6,4.2
2020-05-22,49766,1152,EVERYONE,TRUE,2020-05-19,33.6,4.2
2020-05-23,36845,1388,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-24,47782,870,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-25,47449,1133,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-26,48833,1087,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-27,48583,1062,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-28,47757,1612,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-29,48034,1268,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-30,41694,845,EVERYONE,TRUE,2020-05-22,33.6,4.2
2020-05-31,48251,1046,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-01,46940,1361,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-02,50019,819,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-03,43075,879,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-04,47132,839,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-05,39825,3210,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-06,40646,4563,EVERYONE,TRUE,2020-05-30,33.6,4.2
2020-06-07,43169,4505,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-08,42461,1954,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-09,46194,3135,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-10,41627,2314,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-11,43655,4153,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-12,45125,5997,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-13,49305,8720,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-14,50161,11482,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-15,50783,14358,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-16,51227,6374,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-17,50055,8950,EVERYONE,TRUE,2020-06-06,33.8,4.2
2020-06-18,50759,15094,EVERYONE,TRUE,2020-06-06,33.8,4.2
